iter	Logloss
0	0.5750771405
1	0.4956287728
2	0.4756220142
3	0.4534624497
4	0.4411987005
5	0.4364271918
6	0.4335309699
7	0.4282684975
8	0.4266956288
9	0.4251638926
10	0.4247168036
11	0.4242166096
12	0.4237073027
13	0.4225081844
14	0.4223572235
15	0.4220656214
16	0.4212709902
17	0.4209832617
18	0.4206955978
19	0.4203842578
20	0.4202729794
21	0.4199771494
22	0.4194690096
23	0.4192294041
24	0.4191425804
25	0.4189322514
26	0.4187760836
27	0.4186481487
28	0.4184621524
29	0.4160622701
30	0.4160142904
31	0.4159972679
32	0.4157047833
33	0.4153701358
34	0.4150791617
35	0.4150578573
36	0.4150410046
37	0.4150009791
38	0.4149658699
39	0.4147562033
40	0.4140995826
41	0.4138188579
42	0.413740873
43	0.413403547
44	0.413390393
45	0.4133220705
46	0.4132639399
47	0.4128746442
48	0.4127254116
49	0.4126063549
50	0.4125424757
51	0.4123195142
52	0.4120852719
53	0.4119565017
54	0.4118346971
55	0.4115114726
56	0.4114727863
57	0.411462169
58	0.4112407227
59	0.410993536
60	0.4105485187
61	0.4104670949
62	0.4102891156
63	0.4101247863
64	0.4099844143
65	0.4096246747
66	0.4093968379
67	0.409119454
68	0.4090167128
69	0.4089573616
70	0.408913464
71	0.4087762366
72	0.4085877028
73	0.4085392463
74	0.4084544756
75	0.4082790912
76	0.4081819322
77	0.4079270009
78	0.4078651167
79	0.4075815637
80	0.4075356206
81	0.40722983
82	0.4071056748
83	0.4070477118
84	0.4069998796
85	0.4068974618
86	0.4067978195
87	0.4066903742
88	0.4064467815
89	0.406386181
90	0.406197338
91	0.4060320408
92	0.4058410407
93	0.4057398321
94	0.405614409
95	0.4054641492
96	0.4053995185
97	0.4053056315
98	0.4051859982
99	0.4050879592
100	0.4049836138
101	0.404882967
102	0.4046602597
103	0.4045663555
104	0.4044723547
105	0.4044478905
106	0.404413567
107	0.404321952
108	0.404214422
109	0.4041609327
110	0.4041344538
111	0.4039832814
112	0.4038974948
113	0.4038092763
114	0.403697377
115	0.4036738609
116	0.4036333179
117	0.4035786337
118	0.4034942348
119	0.4034167137
120	0.4033294121
121	0.4032788911
122	0.4031435413
123	0.4031080262
124	0.4030197629
125	0.4029233129
126	0.4028373778
127	0.4027721075
128	0.4027096431
129	0.402670744
130	0.4026291946
131	0.4024921604
132	0.4024509094
133	0.4024146868
134	0.4022993602
135	0.4022090215
136	0.4021412441
137	0.4020876332
138	0.4020150537
139	0.4018990409
140	0.4018375509
141	0.4017636229
142	0.4017402499
143	0.4016955888
144	0.4015089542
145	0.4014644851
146	0.4013979446
147	0.4013365061
148	0.4012916607
149	0.401231034
150	0.4012141926
151	0.4011698106
152	0.4011428369
153	0.4011286694
154	0.4010820301
155	0.4010157472
156	0.4010043624
157	0.4009308547
158	0.4008319425
159	0.4005124592
160	0.4004706352
161	0.40040765
162	0.4003244873
163	0.4002755487
164	0.4001928808
165	0.4001609621
166	0.4000778056
167	0.400010437
168	0.3999548187
169	0.3998722506
170	0.3998267136
171	0.3997914097
172	0.3997779247
173	0.3996983696
174	0.3996226719
175	0.3995290996
176	0.399395113
177	0.3993002177
178	0.399184482
179	0.3991184785
180	0.3990492644
181	0.3989566795
182	0.3989218174
183	0.3988977855
184	0.3988093579
185	0.3987499627
186	0.3986425484
187	0.398555197
188	0.3984479513
189	0.3984183057
190	0.39836522
191	0.3983410255
192	0.3982594573
193	0.3982007983
194	0.3981376707
195	0.3980710632
196	0.3980629222
197	0.3979862
198	0.3978682727
199	0.3978441262
200	0.3977873797
201	0.3977134765
202	0.397614461
203	0.3976024661
204	0.3975459801
205	0.3975051071
206	0.3974865672
207	0.3974225281
208	0.3973935836
209	0.3973309826
210	0.3972942356
211	0.3972585608
212	0.3971828541
213	0.397123953
214	0.3970579799
215	0.3970370376
216	0.3970157697
217	0.3969890196
218	0.396924834
219	0.396845957
220	0.3968029527
221	0.3967324382
222	0.3966996367
223	0.3966249817
224	0.3965453993
225	0.3965081593
226	0.3964529438
227	0.396418244
228	0.3964098484
229	0.3963381797
230	0.396315221
231	0.3962714774
232	0.3962149385
233	0.3961736454
234	0.3961576146
235	0.396094483
236	0.3960529413
237	0.3960074955
238	0.3959479109
239	0.3958858608
240	0.3958540699
241	0.3958428255
242	0.3957711116
243	0.3957618478
244	0.3957266917
245	0.3956743919
246	0.3956513964
247	0.3955846982
248	0.3955505416
249	0.3955308856
250	0.3955134306
251	0.3954591282
252	0.395423276
253	0.3954008599
254	0.3953280014
255	0.3953034089
256	0.3952931417
257	0.3952793443
258	0.3952688214
259	0.3952237919
260	0.395097205
261	0.3950052422
262	0.3949687913
263	0.3949457446
264	0.3949158245
265	0.3949097721
266	0.3948865258
267	0.3948390156
268	0.3947360867
269	0.3946975104
270	0.3946325853
271	0.3946138321
272	0.3945546252
273	0.3945182316
274	0.3944848257
275	0.3944761964
276	0.3944754164
277	0.3944273734
278	0.394305846
279	0.3942698054
280	0.3942261644
281	0.3941871843
282	0.3941358788
283	0.3940866886
284	0.3940678854
285	0.3940595437
286	0.3940202486
287	0.393955673
288	0.3939348862
289	0.3938949619
290	0.3938036206
291	0.3937848707
292	0.3937279297
293	0.3937064879
294	0.3936203756
295	0.3936101773
296	0.3935978681
297	0.393551049
298	0.3934633126
299	0.3934406199
300	0.3934268202
301	0.3934187834
302	0.393368272
303	0.3933297425
304	0.3933103247
305	0.3932872442
306	0.3932314188
307	0.3931838017
308	0.3931581265
309	0.393073565
310	0.3930410911
311	0.3930112869
312	0.3929205774
313	0.3929171145
314	0.3929036052
315	0.3928374766
316	0.3928292908
317	0.3927797533
318	0.3927579286
319	0.392696495
320	0.3926817618
321	0.3926140746
322	0.3925855147
323	0.3925448586
324	0.3924416124
325	0.3924185284
326	0.3923950988
327	0.3923788749
328	0.3923420746
329	0.3922565956
330	0.3922472794
331	0.3921914254
332	0.3921447333
333	0.3921393356
334	0.3920935535
335	0.3920507533
336	0.3919808781
337	0.3919356007
338	0.391921507
339	0.3919001928
340	0.3918566335
341	0.3918250521
342	0.3918174356
343	0.3917534417
344	0.3917395457
345	0.3916104922
346	0.391591845
347	0.3915343312
348	0.3914422876
349	0.3913749467
350	0.3913385246
351	0.3913226119
352	0.3913099043
353	0.3912597026
354	0.3912364218
355	0.3911735228
356	0.3911671605
357	0.3911473774
358	0.3910758022
359	0.3910615134
360	0.391053138
361	0.3909994694
362	0.3909919914
363	0.3909361714
364	0.390926772
365	0.3908476272
366	0.3908177426
367	0.390803377
368	0.3907819048
369	0.3907650469
370	0.3906789051
371	0.3906734613
372	0.3906474093
373	0.390614458
374	0.3906099678
375	0.3905816341
376	0.3905332414
377	0.3905263823
378	0.3904734861
379	0.3903854759
380	0.3903842982
381	0.3903479258
382	0.3902845219
383	0.3902272992
384	0.3901990338
385	0.39017801
386	0.3901642743
387	0.3901421706
388	0.3901061522
389	0.3900884939
390	0.3900690128
391	0.390046254
392	0.3899931948
393	0.3899797653
394	0.3899212278
395	0.3898904457
396	0.3898715342
397	0.3898502929
398	0.389845795
399	0.3897946112
400	0.38979061
401	0.3897422747
402	0.3897353161
403	0.3897131639
404	0.3896019331
405	0.3895977163
406	0.3895714493
407	0.3895373713
408	0.3895249398
409	0.3894772876
410	0.3894620907
411	0.3893880777
412	0.3893709322
413	0.3893559162
414	0.3893389494
415	0.3892884817
416	0.3892467903
417	0.3892206765
418	0.3891987537
419	0.3891673993
420	0.3891430629
421	0.3891302062
422	0.3891190512
423	0.3890203119
424	0.3890201929
425	0.3889788392
426	0.3889542136
427	0.3889235617
428	0.3889126252
429	0.3888919618
430	0.3888773123
431	0.388828091
432	0.3887709526
433	0.3887634541
434	0.3887194684
435	0.3886880135
436	0.3886510698
437	0.3886113061
438	0.3885823096
439	0.3885805787
440	0.3885698091
441	0.3885422832
442	0.3885349273
443	0.3884885209
444	0.3884589922
445	0.38842892
446	0.3883998121
447	0.3883835326
448	0.3883811344
449	0.388379259
450	0.388333941
451	0.3883283289
452	0.3882971667
453	0.3882759604
454	0.3882699805
455	0.3882418863
456	0.3882296923
457	0.3882077604
458	0.388179487
459	0.3881563449
460	0.3881235058
461	0.3881111324
462	0.3881064933
463	0.3880906772
464	0.3880703514
465	0.3880395165
466	0.3880310942
467	0.3879615201
468	0.3879524808
469	0.3879002141
470	0.3878887524
471	0.3878407851
472	0.3878109697
473	0.387772499
474	0.3877056093
475	0.3876977207
476	0.3876591494
477	0.3876588472
478	0.3876041259
479	0.3875793164
480	0.3875610858
481	0.3875357976
482	0.387511513
483	0.3875032776
484	0.3874474557
485	0.3874335606
486	0.3873369925
487	0.3873240937
488	0.387307174
489	0.3872906065
490	0.3872304365
491	0.3872179832
492	0.3872134559
493	0.3871527018
494	0.3871365182
495	0.3871104011
496	0.3870915257
497	0.3870727715
498	0.3870090792
499	0.3870042561
500	0.3869801108
501	0.386960797
502	0.3869479887
503	0.3869417748
504	0.3869267607
505	0.3869134477
506	0.3868839459
507	0.3868663085
508	0.3868191634
509	0.3868062088
510	0.386771733
511	0.3867558438
512	0.38675014
513	0.3867434509
514	0.3867362145
515	0.3867314522
516	0.3867174208
517	0.3866379161
518	0.3865433591
519	0.3865417003
520	0.3865209481
521	0.3865189574
522	0.3865027193
523	0.386465232
524	0.3863709464
525	0.3863374901
526	0.3863109975
527	0.386302878
528	0.3862920368
529	0.3862767524
530	0.3861884916
531	0.3861598383
532	0.3861555432
533	0.3860996942
534	0.3860656086
535	0.3860251819
536	0.3859457649
537	0.3859052932
538	0.3858660085
539	0.3858059256
540	0.3857978787
541	0.3857802453
542	0.3857803698
543	0.3857215226
544	0.3856919601
545	0.3856897551
546	0.3856599041
547	0.3856403952
548	0.3856294443
549	0.3856187301
550	0.38560601
551	0.3855836551
552	0.3855682343
553	0.3855455262
554	0.385535489
555	0.3855255773
556	0.3855032393
557	0.3854982375
558	0.3854830686
559	0.3854726738
560	0.3854551829
561	0.3854232991
562	0.3854163727
563	0.3854108394
564	0.3853906511
565	0.3853783219
566	0.3853656771
567	0.3853498081
568	0.3853446801
569	0.3853339429
570	0.3852984569
571	0.3852838222
572	0.3852731354
573	0.3852475047
574	0.3852428166
575	0.3852316043
576	0.3852292669
577	0.3851998929
578	0.3851561183
579	0.3851523871
580	0.3851250276
581	0.3851143378
582	0.3850964803
583	0.3850650398
584	0.3850584447
585	0.3850293123
586	0.3850008454
587	0.3849994112
588	0.3849467979
589	0.3849280109
590	0.384894653
591	0.3848715806
592	0.384864931
593	0.3848236598
594	0.3848186602
595	0.3847880773
596	0.3847843288
597	0.3847569226
598	0.38474884
599	0.3847405098
600	0.3847176876
601	0.3846987206
602	0.3846474633
603	0.3846205987
604	0.3845803628
605	0.3845191001
606	0.3844948402
607	0.3844740769
608	0.3844708711
609	0.3844535076
610	0.384443542
611	0.3844094392
612	0.3843859041
613	0.384381959
614	0.3843665432
615	0.3843596079
616	0.3843453748
617	0.3843413514
618	0.3843152718
619	0.3843023536
620	0.3842888396
621	0.3842872275
622	0.3842398197
623	0.3842187985
624	0.3842139133
625	0.3841764457
626	0.3841704681
627	0.3841392433
628	0.3841070764
629	0.3840864253
630	0.384057705
631	0.3840558781
632	0.3840509725
633	0.3840204776
634	0.3840184453
635	0.3840104928
636	0.3840106206
637	0.3839901708
638	0.3839585587
639	0.3839497082
640	0.3839202231
641	0.3839003076
642	0.3838991985
643	0.3838889471
644	0.3838752005
645	0.3838311385
646	0.3837895935
647	0.3837740494
648	0.3837417013
649	0.3837247855
650	0.3837040285
651	0.3836862792
652	0.3836833092
653	0.3836532123
654	0.3836410982
655	0.3836166919
656	0.3835965004
657	0.3835809259
658	0.3835778754
659	0.383562045
660	0.383552689
661	0.3835281415
662	0.3834964199
663	0.3834669473
664	0.3834406628
665	0.3834135398
666	0.3834117233
667	0.3833834929
668	0.3833743007
669	0.3833025844
670	0.3832989557
671	0.383271498
672	0.3832496442
673	0.3832408328
674	0.3832374111
675	0.3832350264
676	0.3832069733
677	0.383193387
678	0.3831344744
679	0.3830987558
680	0.3830898043
681	0.3830796231
682	0.383069714
683	0.3830611333
684	0.3830317699
685	0.3830276589
686	0.3829886554
687	0.3829708151
688	0.3829675107
689	0.3829637796
690	0.38294315
691	0.3828938141
692	0.3828902722
693	0.3828726995
694	0.3828690051
695	0.3828531598
696	0.3828467717
697	0.3828389741
698	0.3828290499
699	0.3828171031
700	0.3827915188
701	0.3827827275
702	0.3827620006
703	0.3827277877
704	0.3827226936
705	0.3827182759
706	0.3826386278
707	0.3826061522
708	0.3825733076
709	0.382569127
710	0.3825030173
711	0.382487301
712	0.3824821764
713	0.3824143658
714	0.3823995173
715	0.3823806618
716	0.3823687702
717	0.3823477232
718	0.3823451685
719	0.382342544
720	0.3823251341
721	0.3822840773
722	0.3822720545
723	0.3822103643
724	0.382189791
725	0.3821794765
726	0.3821509397
727	0.3821142883
728	0.3821099432
729	0.3821053219
730	0.3820787026
731	0.3820545303
732	0.3820360037
733	0.3820000905
734	0.3819774449
735	0.3819620905
736	0.3819590487
737	0.3819334648
738	0.381925383
739	0.3819186427
740	0.3819144064
741	0.3818947089
742	0.3818941663
743	0.3818662426
744	0.3818540975
745	0.3818520418
746	0.3818363015
747	0.3818289183
748	0.3818000881
749	0.3817904684
750	0.3817836434
751	0.3817698811
752	0.3817571247
753	0.3817524513
754	0.3817480366
755	0.3817385625
756	0.3817368244
757	0.3817297623
758	0.3817283293
759	0.3816768032
760	0.3816700018
761	0.3816214912
762	0.3816128426
763	0.3815732905
764	0.3815679154
765	0.3815547019
766	0.3815322039
767	0.3815137796
768	0.3815133369
769	0.3814909108
770	0.3814788033
771	0.3814627785
772	0.3814576343
773	0.3814249589
774	0.3814230849
775	0.3813790009
776	0.3813595843
777	0.3813161853
778	0.3813159082
779	0.381278211
780	0.3812611674
781	0.3812538874
782	0.381252394
783	0.3812481963
784	0.3812346591
785	0.38123197
786	0.3811171104
787	0.381116273
788	0.3810980362
789	0.3810880247
790	0.3810348297
791	0.3810244997
792	0.3810203179
793	0.3810096469
794	0.3809851756
795	0.3809701144
796	0.3809577126
797	0.3809323793
798	0.3808833898
799	0.3808773484
