fold	acc	prec	rec	f1	auc	loss
0	0.88453125	0.8506697064690795	0.9328125	0.8898494559546878	0.946674365234375	0.41365167081356047
1	0.86859375	0.8225321301613344	0.94	0.8773516114919061	0.938872607421875	0.44748341605067254
2	0.851875	0.7936880542514345	0.9509375	0.8652260449246517	0.9283036132812499	0.4696302320808172
3	0.87390625	0.8344981828347777	0.9328125	0.880920761398849	0.9384879882812499	0.41257430747151375
4	0.8530790872147546	0.8057359307359307	0.930625	0.8636890951276102	0.9271786077235772	0.478811571386763
