metric	mean	std
loss	0.44443023956066546	0.030775632370513437
acc	0.8663970674429509	0.013949201178922035
prec	0.8214248008905113	0.022599069431735935
rec	0.9374375	0.008336783140096636
f1	0.8754073937795409	0.010996917212227173
auc	0.9359034363884653	0.008145378134383992
