epoch	train_loss	test_loss	test_acc	test_f1	test_auc
1	0.693571	0.693862	0.499844	0.000000	0.531841
2	0.692337	0.692396	0.509847	0.126949	0.562187
3	0.683038	0.677962	0.578149	0.543239	0.597879
4	0.661762	0.663109	0.603626	0.614121	0.640835
5	0.637183	0.654873	0.627384	0.630617	0.665187
6	0.615595	0.649758	0.625039	0.542438	0.699085
7	0.587142	0.617723	0.670366	0.670005	0.723550
8	0.549627	0.586575	0.703188	0.727273	0.760862
9	0.511882	0.565753	0.716630	0.710891	0.786704
10	0.464100	0.556041	0.722257	0.694831	0.814649
11	0.419096	0.516900	0.747108	0.736052	0.831996
12	0.371585	0.509913	0.767271	0.793739	0.851739
13	0.329546	0.471325	0.788840	0.782413	0.871889
14	0.298033	0.453243	0.795092	0.806094	0.874840
15	0.272770	0.445228	0.806971	0.811537	0.885004
16	0.242176	0.429972	0.821350	0.821322	0.898417
17	0.218799	0.445116	0.818381	0.830760	0.897693
18	0.202420	0.431491	0.828228	0.827986	0.907360
19	0.183047	0.445494	0.828071	0.842317	0.908423
20	0.168303	0.428887	0.829478	0.841447	0.910130
21	0.149394	0.426440	0.843389	0.846036	0.915479
22	0.138202	0.418213	0.839794	0.848931	0.919862
23	0.134118	0.448169	0.845420	0.841328	0.922945
24	0.123187	0.429616	0.848234	0.848825	0.922658
25	0.111644	0.437858	0.852923	0.857962	0.923885
26	0.117761	0.450414	0.848390	0.850815	0.922107
27	0.103907	0.444587	0.852766	0.861958	0.925466
28	0.091948	0.495441	0.849015	0.860324	0.921622
29	0.095849	0.535776	0.828071	0.846283	0.916930
30	0.092749	0.478812	0.853079	0.863689	0.927179
