epoch	train_loss	test_loss	test_acc
1	0.693522	0.693258	0.500000
2	0.693148	0.693064	0.500000
3	0.693163	0.693007	0.501563
4	0.691567	0.687159	0.545469
5	0.677842	0.683574	0.573594
6	0.656500	0.660404	0.613125
7	0.632447	0.647670	0.631250
8	0.608707	0.646330	0.629844
9	0.579667	0.618856	0.663125
10	0.539809	0.602739	0.678906
11	0.506491	0.581430	0.702344
12	0.465729	0.550122	0.724688
13	0.429819	0.545609	0.734531
14	0.389247	0.509162	0.761094
15	0.359084	0.500849	0.762344
