read_uid	y_sim	anomaly_score	iso_label
NC_039553.1_3_540_8:0:0_6:0:0_ef2/F	0	0.4530692115491546	1
NC_039553.1_4_430_13:0:0_11:0:0_243d/F	0	0.4499929188078032	1
NC_039553.1_5_495_6:0:0_11:0:0_1d49/F	0	0.44271136062387534	1
NC_039553.1_6_523_6:0:0_9:0:0_82c/F	0	0.49375465894504034	1
NC_039553.1_9_574_7:0:0_7:0:0_181b/F	0	0.43512174822978195	1
NC_039553.1_10_391_9:0:0_8:0:0_256b/F	0	0.4351730617483562	1
NC_039553.1_11_509_6:0:0_11:0:0_a19/F	0	0.44094488548419797	1
NC_039553.1_12_427_9:0:0_9:0:0_157/F	0	0.49504039638584885	1
NC_039553.1_12_489_8:0:0_9:0:0_86f/F	0	0.48780848450459324	1
NC_039553.1_12_593_13:0:0_13:0:0_2375/F	0	0.6235636912707401	-1
NC_039553.1_14_515_7:0:0_7:0:0_20a4/F	0	0.44094488548419797	1
NC_039553.1_15_525_9:0:0_9:0:0_1e76/F	0	0.4512671754207434	1
NC_039553.1_17_520_4:0:0_8:0:0_25c/F	0	0.6504658460394637	-1
NC_039553.1_18_522_8:0:0_9:0:0_c84/F	0	0.5054925083390528	1
NC_039553.1_18_593_8:0:0_3:0:0_eca/F	0	0.5086403589784417	1
NC_039553.1_18_482_5:0:0_7:0:0_1e4b/F	0	0.5043936366515664	1
NC_039553.1_19_516_6:0:0_8:0:0_c1a/F	0	0.5130116740401428	1
NC_039553.1_20_525_9:0:0_10:0:0_1b37/F	0	0.43498173523453626	1
NC_039553.1_21_560_10:0:0_9:0:0_169b/F	0	0.4499929188078032	1
NC_039553.1_23_443_2:0:0_8:0:0_1909/F	0	0.43426180106006645	1
NC_039553.1_25_571_7:0:0_8:0:0_1932/F	0	0.43273342302073126	1
NC_039553.1_28_536_8:0:0_5:0:0_1f82/F	0	0.4501338792310905	1
NC_039553.1_32_487_8:0:0_8:0:0_20f5/F	0	0.5247675095871311	1
NC_039553.1_34_520_8:0:0_3:0:0_691/F	0	0.44014787304420927	1
NC_039553.1_34_452_2:0:0_16:0:0_d95/F	0	0.4324162823199776	1
NC_039553.1_35_574_7:0:0_8:0:0_2035/F	0	0.4499929188078032	1
NC_039553.1_36_542_8:0:0_9:0:0_1c3d/F	0	0.4336761758079061	1
NC_039553.1_38_482_5:0:0_6:0:0_1022/F	0	0.4499929188078032	1
NC_039553.1_39_591_8:0:0_6:0:0_2233/F	0	0.4346442887329166	1
NC_039553.1_41_525_6:0:0_11:0:0_45e/F	0	0.5012890383862789	1
NC_039553.1_43_423_11:0:0_5:0:0_12c2/F	0	0.4306645543281818	1
NC_039553.1_44_580_4:0:0_8:0:0_977/F	0	0.42985416560514883	1
NC_039553.1_48_505_7:0:0_13:0:0_54b/F	0	0.4310336800390568	1
NC_039553.1_48_553_10:0:0_6:0:0_5d2/F	0	0.4300966716768473	1
NC_039553.1_49_603_10:0:0_3:0:0_a2c/F	0	0.4310336800390568	1
NC_039553.1_49_630_10:0:0_10:0:0_19c9/F	0	0.5409231588443122	1
NC_039553.1_51_572_3:0:0_4:0:0_1a7e/F	0	0.49221002052664625	1
NC_039553.1_53_545_8:0:0_11:0:0_237d/F	0	0.43743636269117775	1
NC_039553.1_55_593_6:0:0_7:0:0_1a5/F	0	0.4298447074719017	1
NC_039553.1_55_477_15:0:0_11:0:0_2408/F	0	0.591502027318173	1
NC_039553.1_57_508_7:0:0_5:0:0_2c/F	0	0.4298230856250991	1
NC_039553.1_59_610_11:0:0_13:0:0_299/F	0	0.5616637083419326	1
NC_039553.1_59_571_5:0:0_6:0:0_675/F	0	0.4372090123760601	1
NC_039553.1_62_589_7:0:0_8:0:0_f24/F	0	0.49754917753135725	1
NC_039553.1_62_500_6:0:0_4:0:0_1b5e/F	0	0.49754917753135725	1
NC_039553.1_63_532_12:0:0_9:0:0_807/F	0	0.4275765174894775	1
NC_039553.1_64_585_8:0:0_7:0:0_1e87/F	0	0.43509392947859793	1
NC_039553.1_66_597_6:0:0_11:0:0_14ca/F	0	0.44710017513088857	1
NC_039553.1_67_479_5:0:0_7:0:0_1539/F	0	0.43791721765488245	1
NC_039553.1_67_566_8:0:0_8:0:0_22d5/F	0	0.43737528645131746	1
NC_039553.1_68_584_6:0:0_7:0:0_3e1/F	0	0.4903082798839595	1
NC_039553.1_68_556_5:0:0_4:0:0_499/F	0	0.4367445726858482	1
NC_039553.1_68_606_5:0:0_9:0:0_24bb/F	0	0.5100090109526574	1
NC_039553.1_70_555_6:0:0_4:0:0_49b/F	0	0.4356232879191593	1
NC_039553.1_70_576_6:0:0_6:0:0_1b1a/F	0	0.4453845504174343	1
NC_039553.1_71_588_8:0:0_5:0:0_414/F	0	0.4255706644169494	1
NC_039553.1_74_552_7:0:0_8:0:0_b38/F	0	0.5079087470313531	1
NC_039553.1_74_589_6:0:0_7:0:0_242a/F	0	0.5083231185985317	1
NC_039553.1_75_568_9:0:0_6:0:0_b90/F	0	0.4991792384506821	1
NC_039553.1_75_537_7:0:0_11:0:0_2116/F	0	0.4245459107354885	1
NC_039553.1_76_674_4:0:0_12:0:0_2115/F	0	0.4271500369376705	1
NC_039553.1_77_572_2:0:0_10:0:0_f56/F	0	0.4346334071718609	1
NC_039553.1_79_661_9:0:0_8:0:0_2441/F	0	0.42458466922519494	1
NC_039553.1_80_540_12:0:0_3:0:0_dc2/F	0	0.5528981386156274	1
NC_039553.1_80_633_8:0:0_3:0:0_24cd/F	0	0.5079087470313531	1
