epoch	train_loss	test_loss	test_acc	test_f1	test_auc
1	0.693598	0.692618	0.513285	0.524580	0.522366
2	0.686828	0.693136	0.516724	0.449234	0.528713
3	0.676759	0.694234	0.538450	0.466679	0.558855
4	0.659701	0.688049	0.559394	0.564633	0.575387
5	0.611230	0.633667	0.650516	0.636541	0.701455
6	0.501900	0.587605	0.715849	0.653318	0.831198
7	0.329948	0.396518	0.838387	0.848742	0.910572
8	0.192839	0.337440	0.870585	0.869893	0.936214
9	0.116925	0.292878	0.894967	0.898612	0.954363
10	0.080872	0.258565	0.908253	0.908553	0.965358
11	0.053229	0.298854	0.915755	0.916265	0.966226
12	0.046285	0.308418	0.916849	0.918729	0.965969
13	0.037470	0.281901	0.923414	0.924125	0.971440
14	0.027643	0.358646	0.917162	0.920540	0.967540
15	0.020225	0.405295	0.918881	0.922687	0.968728
16	0.027417	0.376136	0.918568	0.922297	0.965025
17	0.026991	0.404210	0.913879	0.918091	0.966516
18	0.019575	0.310459	0.927790	0.928682	0.972699
19	0.017646	0.374406	0.916693	0.918564	0.966800
20	0.020004	0.406561	0.928259	0.931686	0.973781
21	0.018639	0.313285	0.936074	0.937700	0.975936
22	0.019516	0.351884	0.922632	0.925754	0.971605
23	0.017287	0.284502	0.937637	0.938568	0.977418
24	0.015953	0.451559	0.912473	0.917913	0.970219
25	0.017970	0.328838	0.931072	0.933293	0.975478
26	0.019767	0.337925	0.929978	0.931707	0.974571
27	0.017585	0.330521	0.936386	0.937853	0.975243
28	0.012014	0.506079	0.919506	0.924052	0.970753
29	0.016877	0.378012	0.927790	0.931024	0.974005
30	0.013251	0.361109	0.929978	0.931770	0.971454
