epoch	train_loss	test_loss	test_acc
1	0.693461	0.693068	0.500000
2	0.692252	0.687027	0.525156
3	0.677308	0.673685	0.535937
4	0.668350	0.668824	0.554375
5	0.657838	0.660021	0.579063
6	0.647131	0.645387	0.608125
7	0.635714	0.639142	0.618906
8	0.622780	0.635348	0.625313
9	0.602052	0.637370	0.630313
10	0.585714	0.621103	0.648438
11	0.570453	0.606632	0.671094
12	0.545990	0.619584	0.664844
13	0.527668	0.627357	0.669531
14	0.513346	0.600274	0.680312
15	0.486396	0.638126	0.668281
