epoch	train_loss	test_loss	test_acc
1	0.693468	0.693238	0.500000
2	0.693075	0.692783	0.502500
3	0.688861	0.672012	0.590313
4	0.641571	0.607039	0.658750
5	0.545554	0.503899	0.746875
6	0.448463	0.428761	0.799844
7	0.354502	0.378049	0.830000
8	0.286352	0.373060	0.838281
9	0.238036	0.351995	0.854531
10	0.188026	0.314732	0.875156
11	0.160771	0.300009	0.880781
12	0.128355	0.311024	0.884844
13	0.112427	0.311223	0.885938
14	0.098791	0.322862	0.886719
15	0.089269	0.310513	0.895156
