dataset	threshold_group	k	cov_max_cnn	cov_max_gb	cov_mean_cnn	cov_mean_gb	cov_median_cnn	cov_median_gb	edges_cnn	edges_gb	longest_cnn	longest_gb	n50_cnn	n50_gb	n90_cnn	n90_gb	n_contigs_cnn	n_contigs_gb	nodes_cnn	nodes_gb	total_len_cnn	total_len_gb	cov_max_unfiltered	cov_mean_unfiltered	cov_median_unfiltered	edges_unfiltered	longest_unfiltered	n50_unfiltered	n90_unfiltered	n_contigs_unfiltered	nodes_unfiltered	total_len_unfiltered	k_unfiltered	delta_nodes_cnn	delta_edges_cnn	delta_n_contigs_cnn	delta_n50_cnn	delta_total_len_cnn	delta_cov_mean_cnn	delta_nodes_gb	delta_edges_gb	delta_n_contigs_gb	delta_n50_gb	delta_total_len_gb	delta_cov_mean_gb
10K_lemuru5	0.3	115	33.566121	39.149879	33.566121	39.149879	33.566121	39.149879	0.0	0.0	16615.0	16615.0	16615.0	16615.0	16615.0	16615.0	1.0	1.0	1.0	1.0	16615.0	16615.0	40.477913	40.477913	40.477913	2.0	16754.0	16754.0	16754.0	1.0	2.0	16754.0		-1.0	-2.0	0.0	-139.0	-139.0	-6.911791999999998	-1.0	-2.0	0.0	-139.0	-139.0	-1.3280340000000024
10K_lemuru5	0.3	127	22.024321	25.677098	22.024321	25.677098	22.024321	25.677098	0.0	0.0	16615.0	16615.0	16615.0	16615.0	16615.0	16615.0	1.0	1.0	1.0	1.0	16615.0	16615.0	26.473526	26.473526	26.473526	2.0	16766.0	16766.0	16766.0	1.0	2.0	16766.0		-1.0	-2.0	0.0	-151.0	-151.0	-4.449204999999999	-1.0	-2.0	0.0	-151.0	-151.0	-0.7964279999999988
10K_lemuru5	0.5	115	34.475173	40.604848	34.475173	40.604848	34.475173	40.604848	2.0	0.0	16690.0	16615.0	16690.0	16615.0	16690.0	16615.0	1.0	1.0	2.0	1.0	16690.0	16615.0	40.477913	40.477913	40.477913	2.0	16754.0	16754.0	16754.0	1.0	2.0	16754.0		0.0	0.0	0.0	-64.0	-64.0	-6.002740000000003	-1.0	-2.0	0.0	-139.0	-139.0	0.12693499999999602
10K_lemuru5	0.5	127	22.604103	26.626941	22.604103	26.626941	22.604103	26.626941	2.0	0.0	16702.0	16615.0	16702.0	16615.0	16702.0	16615.0	1.0	1.0	2.0	1.0	16702.0	16615.0	26.473526	26.473526	26.473526	2.0	16766.0	16766.0	16766.0	1.0	2.0	16766.0		0.0	0.0	0.0	-64.0	-64.0	-3.869423000000001	-1.0	-2.0	0.0	-151.0	-151.0	0.15341499999999897
10K_lemuru5	0.7	115	35.543891	40.677091	35.543891	40.677091	35.543891	40.677091	2.0	0.0	16690.0	16615.0	16690.0	16615.0	16690.0	16615.0	1.0	1.0	2.0	1.0	16690.0	16615.0	40.477913	40.477913	40.477913	2.0	16754.0	16754.0	16754.0	1.0	2.0	16754.0		0.0	0.0	0.0	-64.0	-64.0	-4.934021999999999	-1.0	-2.0	0.0	-139.0	-139.0	0.1991779999999963
10K_lemuru5	0.7	127	23.303107	26.670973	23.303107	26.670973	23.303107	26.670973	2.0	0.0	16702.0	16615.0	16702.0	16615.0	16702.0	16615.0	1.0	1.0	2.0	1.0	16702.0	16615.0	26.473526	26.473526	26.473526	2.0	16766.0	16766.0	16766.0	1.0	2.0	16766.0		0.0	0.0	0.0	-64.0	-64.0	-3.170418999999999	-1.0	-2.0	0.0	-151.0	-151.0	0.19744700000000037
10K_lemuru50	0.3	115	18.651822	26.390644	18.651822	26.390644	18.651822	26.390644	0.0	0.0	16687.0	16703.0	16687.0	16703.0	16687.0	16703.0	1.0	1.0	1.0	1.0	16687.0	16703.0	30.417238	30.417238	30.417238	2.0	16439.0	16439.0	16439.0	1.0	2.0	16439.0		-1.0	-2.0	0.0	248.0	248.0	-11.765416000000002	-1.0	-2.0	0.0	264.0	264.0	-4.026593999999999
10K_lemuru50	0.3	127	12.1468	17.101834	12.1468	17.101834	12.1468	17.101834	0.0	0.0	16687.0	16703.0	16687.0	16703.0	16687.0	16703.0	1.0	1.0	1.0	1.0	16687.0	16703.0	19.08869	19.08869	19.08869	0.0	16758.0	16758.0	16758.0	1.0	1.0	16758.0		0.0	0.0	0.0	-71.0	-71.0	-6.941889999999999	0.0	0.0	0.0	-55.0	-55.0	-1.9868559999999995
10K_lemuru50	0.5	115	19.292843	28.517476	19.292843	28.517476	19.292843	28.517476	0.0	0.0	16687.0	16738.0	16687.0	16738.0	16687.0	16738.0	1.0	1.0	1.0	1.0	16687.0	16738.0	30.417238	30.417238	30.417238	2.0	16439.0	16439.0	16439.0	1.0	2.0	16439.0		-1.0	-2.0	0.0	248.0	248.0	-11.124395	-1.0	-2.0	0.0	299.0	299.0	-1.8997620000000026
10K_lemuru50	0.5	127	12.545652	18.439889	12.545652	18.439889	12.545652	18.439889	0.0	0.0	16687.0	16738.0	16687.0	16738.0	16687.0	16738.0	1.0	1.0	1.0	1.0	16687.0	16738.0	19.08869	19.08869	19.08869	0.0	16758.0	16758.0	16758.0	1.0	1.0	16758.0		0.0	0.0	0.0	-71.0	-71.0	-6.543037999999999	0.0	0.0	0.0	-20.0	-20.0	-0.6488009999999989
10K_lemuru50	0.7	115	20.089307	28.928894	20.089307	28.928894	20.089307	28.928894	0.0	0.0	16687.0	16738.0	16687.0	16738.0	16687.0	16738.0	1.0	1.0	1.0	1.0	16687.0	16738.0	30.417238	30.417238	30.417238	2.0	16439.0	16439.0	16439.0	1.0	2.0	16439.0		-1.0	-2.0	0.0	248.0	248.0	-10.327931	-1.0	-2.0	0.0	299.0	299.0	-1.4883440000000014
10K_lemuru50	0.7	127	13.039191	18.670459	13.039191	18.670459	13.039191	18.670459	0.0	0.0	16687.0	16738.0	16687.0	16738.0	16687.0	16738.0	1.0	1.0	1.0	1.0	16687.0	16738.0	19.08869	19.08869	19.08869	0.0	16758.0	16758.0	16758.0	1.0	1.0	16758.0		0.0	0.0	0.0	-71.0	-71.0	-6.049498999999999	0.0	0.0	0.0	-20.0	-20.0	-0.4182309999999987
3200_lemuru10	0.3	115	5.969391	11.189501	5.969391	11.189501	5.969391	11.189501	0.0	0.0	16646.0	16669.0	16646.0	16669.0	16646.0	16669.0	1.0	1.0	1.0	1.0	16646.0	16669.0	12.606137	12.606137	12.606137	0.0	16669.0	16669.0	16669.0	1.0	1.0	16669.0		0.0	0.0	0.0	-23.0	-23.0	-6.6367460000000005	0.0	0.0	0.0	0.0	0.0	-1.4166360000000005
3200_lemuru10	0.3	127	3.668382	7.251602	3.668382	7.251602	3.668382	7.251602	0.0	0.0	16646.0	16669.0	16646.0	16669.0	16646.0	16669.0	1.0	1.0	1.0	1.0	16646.0	16669.0	8.219381	8.219381	8.219381	0.0	16669.0	16669.0	16669.0	1.0	1.0	16669.0		0.0	0.0	0.0	-23.0	-23.0	-4.550999000000001	0.0	0.0	0.0	0.0	0.0	-0.9677790000000002
