dataset	threshold_group	k	nodes	edges	n_contigs	n50	n90	longest	total_len	cov_mean	cov_median	cov_max	method	nodes_base	edges_base	n50_base	total_len_base	nodes_base_ds	edges_base_ds	n50_base_ds	total_len_base_ds	nodes_base_final	edges_base_final	n50_base_final	total_len_base_final	len_ratio	n50_ratio	frag_penalty	len_penalty	n50_reward	score
10K_lemuru10	0.7	127	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	22.222256	22.222256	22.222256	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.7	127	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	22.222256	22.222256	22.222256	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.7	127	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	22.222256	22.222256	22.222256	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru15	0.3	115	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	30.363691	30.363691	30.363691	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.3	115	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	30.363691	30.363691	30.363691	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.3	115	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	30.363691	30.363691	30.363691	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.3	127	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	19.905118	19.905118	19.905118	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.3	127	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	19.905118	19.905118	19.905118	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.3	127	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	19.905118	19.905118	19.905118	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.5	115	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	31.287214	31.287214	31.287214	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.5	115	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	31.287214	31.287214	31.287214	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.5	115	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	31.287214	31.287214	31.287214	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.5	127	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	20.50332	20.50332	20.50332	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.5	127	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	20.50332	20.50332	20.50332	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.5	127	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	20.50332	20.50332	20.50332	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.7	115	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	32.189023	32.189023	32.189023	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.7	115	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	32.189023	32.189023	32.189023	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.7	115	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	32.189023	32.189023	32.189023	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.7	127	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	21.081965	21.081965	21.081965	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.7	127	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	21.081965	21.081965	21.081965	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru15	0.7	127	1.0	0.0	1.0	16695.0	16695.0	16695.0	16695.0	21.081965	21.081965	21.081965	cnn	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	1.0	0.0	16695.0	16695.0	0.99999999999994	0.99999999999994	0.0	5.995204332975845e-14	0.99999999999994	0.9999999999999101
10K_lemuru5	0.3	115	1.0	0.0	1.0	16615.0	16615.0	16615.0	16615.0	33.566121	33.566121	33.566121	cnn	2.0	2.0	16754.0	16754.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16754.0	16754.0	0.9917034737972429	0.9917034737972429	0.0	0.008296526202757115	0.9917034737972429	0.9875552106958643
10K_lemuru5	0.3	115	1.0	0.0	1.0	16615.0	16615.0	16615.0	16615.0	33.566121	33.566121	33.566121	cnn	2.0	2.0	16754.0	16754.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16754.0	16754.0	0.9917034737972429	0.9917034737972429	0.0	0.008296526202757115	0.9917034737972429	0.9875552106958643
