epoch	train_loss	test_loss	test_acc
1	0.693314	0.692745	0.500000
2	0.692545	0.689473	0.550375
3	0.676032	0.661156	0.604375
4	0.616943	0.577427	0.690000
5	0.519331	0.487759	0.758875
6	0.420080	0.437103	0.795750
7	0.351185	0.413452	0.808625
8	0.287909	0.356582	0.845375
9	0.238567	0.339096	0.858750
10	0.208118	0.346436	0.857125
11	0.176074	0.334007	0.871375
12	0.152082	0.306810	0.881875
13	0.131518	0.327742	0.879250
14	0.120133	0.368065	0.868875
15	0.110450	0.310059	0.893250
