epoch	train_loss	test_loss	test_acc	test_f1	test_auc
1	0.693515	0.692853	0.500000	0.666667	0.574941
2	0.692683	0.691866	0.503594	0.022161	0.597425
3	0.681769	0.673980	0.581094	0.415777	0.645035
4	0.646831	0.635053	0.640469	0.673293	0.699508
5	0.598944	0.592793	0.681562	0.708857	0.753449
6	0.540155	0.558208	0.716719	0.744684	0.792495
7	0.475869	0.505945	0.751719	0.749882	0.831125
8	0.406661	0.457834	0.783438	0.789362	0.861852
9	0.348016	0.425654	0.801875	0.801875	0.885475
10	0.293179	0.404436	0.816562	0.831176	0.903087
11	0.249633	0.380847	0.836250	0.838471	0.911358
12	0.214958	0.368864	0.844375	0.849274	0.916804
13	0.181060	0.364760	0.858281	0.864323	0.925796
14	0.156685	0.425223	0.842812	0.858230	0.925954
15	0.147141	0.375911	0.858750	0.868106	0.932020
16	0.122227	0.391632	0.865000	0.873388	0.932292
17	0.122762	0.366581	0.867656	0.869872	0.936066
18	0.101610	0.421767	0.856719	0.867925	0.930976
19	0.089300	0.426020	0.871563	0.878294	0.935166
20	0.082130	0.397947	0.867812	0.875880	0.941351
21	0.076614	0.456656	0.863594	0.874875	0.937163
22	0.084238	0.383441	0.872188	0.876472	0.938776
23	0.077013	0.424181	0.872031	0.881253	0.942339
24	0.064955	0.383756	0.880313	0.884360	0.944473
25	0.065016	0.435761	0.869219	0.879412	0.944052
26	0.053318	0.406128	0.880938	0.886031	0.944895
27	0.052768	0.428130	0.874219	0.882396	0.944005
28	0.058426	0.407659	0.873125	0.878516	0.940432
29	0.054126	0.413652	0.884531	0.889849	0.946674
30	0.048844	0.409716	0.883281	0.889677	0.947234
