epoch	train_loss	test_loss	test_acc	test_f1	test_auc
1	0.693431	0.692911	0.500000	0.666667	0.572330
2	0.692800	0.692056	0.516094	0.099448	0.574467
3	0.682826	0.673266	0.581250	0.435789	0.643650
4	0.650461	0.655804	0.615156	0.666305	0.671935
5	0.611166	0.636452	0.651875	0.701100	0.712630
6	0.567831	0.630206	0.660781	0.723334	0.756211
7	0.517711	0.575771	0.700000	0.666667	0.788144
8	0.462748	0.527443	0.739062	0.768056	0.822373
9	0.413110	0.483548	0.773438	0.783129	0.847142
10	0.369948	0.473810	0.774375	0.800111	0.866022
11	0.331128	0.455190	0.792813	0.811915	0.876142
12	0.295406	0.460709	0.787656	0.766855	0.893679
13	0.265325	0.405622	0.826094	0.832808	0.900005
14	0.233495	0.446378	0.812969	0.833449	0.905589
15	0.213972	0.438370	0.820312	0.840411	0.909533
16	0.195360	0.396561	0.839688	0.847639	0.916668
17	0.175010	0.370835	0.853281	0.857012	0.921914
18	0.153176	0.422406	0.840156	0.855814	0.923293
19	0.136936	0.407676	0.856719	0.864168	0.922996
20	0.138237	0.404721	0.851250	0.847777	0.925880
21	0.124485	0.381696	0.858594	0.866460	0.928954
22	0.110647	0.401695	0.856719	0.867581	0.932523
23	0.101868	0.399450	0.865313	0.871189	0.933325
24	0.098694	0.429620	0.863906	0.872418	0.934645
25	0.095710	0.412760	0.868125	0.876932	0.931786
26	0.084090	0.443022	0.860156	0.871685	0.933241
27	0.080963	0.468246	0.856250	0.868646	0.931748
28	0.085056	0.380361	0.873750	0.877613	0.937799
29	0.078014	0.412574	0.873906	0.880921	0.938488
30	0.068390	0.443349	0.871250	0.879567	0.936191
