epoch	train_loss	test_loss	test_acc	test_f1	test_auc
1	0.694126	0.691566	0.521719	0.409187	0.536520
2	0.687619	0.690067	0.534531	0.602641	0.554886
3	0.679217	0.688447	0.554219	0.566743	0.574270
4	0.663512	0.682414	0.571406	0.531512	0.602715
5	0.607437	0.628444	0.652031	0.618860	0.717662
6	0.470816	0.479195	0.780781	0.781974	0.851571
7	0.309109	0.416579	0.825469	0.842875	0.894927
8	0.192445	0.349496	0.859062	0.854657	0.936051
9	0.130351	0.318743	0.879531	0.877561	0.948802
10	0.086719	0.353484	0.900000	0.905965	0.950340
11	0.063457	0.312037	0.905937	0.907838	0.956358
12	0.047841	0.369950	0.893281	0.897061	0.946630
13	0.039409	0.350141	0.908594	0.909792	0.959526
14	0.033810	0.378586	0.910000	0.913279	0.958750
15	0.034795	0.397314	0.903125	0.905718	0.954142
16	0.029768	0.395724	0.912813	0.915429	0.959741
17	0.030846	0.379658	0.908594	0.910097	0.958505
18	0.022926	0.578815	0.892813	0.900580	0.950556
19	0.027446	0.393289	0.913438	0.916440	0.962579
20	0.018931	0.346800	0.918281	0.917858	0.968605
21	0.018172	0.445146	0.917656	0.920597	0.963786
22	0.020056	0.405369	0.916406	0.918804	0.964442
23	0.018241	0.419484	0.917031	0.917992	0.965284
24	0.023836	0.395220	0.914375	0.916514	0.962701
25	0.021731	0.422935	0.909531	0.913024	0.958871
26	0.018890	0.386276	0.920156	0.921710	0.966571
27	0.013294	0.398071	0.928906	0.930247	0.969639
28	0.016873	0.494234	0.915156	0.919232	0.962930
29	0.018248	0.370393	0.920156	0.920591	0.969367
30	0.017866	0.409133	0.916875	0.919051	0.966226
