epoch	train_loss	test_loss	test_acc
1	0.693668	0.692788	0.503750
2	0.692602	0.693018	0.501406
3	0.687412	0.690807	0.522969
4	0.668467	0.667903	0.597969
5	0.644255	0.653552	0.622500
6	0.612558	0.625490	0.661250
7	0.571574	0.588543	0.692656
8	0.524494	0.561179	0.714844
9	0.473630	0.559193	0.709063
10	0.426183	0.500898	0.767656
11	0.383445	0.473030	0.780469
12	0.345554	0.454435	0.801094
13	0.318908	0.465306	0.795312
14	0.289959	0.439389	0.808438
15	0.263139	0.427606	0.818906
