iter	Logloss
0	0.5420514219
1	0.4836994131
2	0.4623954773
3	0.4485807073
4	0.443184686
5	0.4378030467
6	0.4342014453
7	0.432101166
8	0.4306975327
9	0.4255727728
10	0.4247536542
11	0.4230301357
12	0.4225163258
13	0.4213172945
14	0.4199915093
15	0.4196795006
16	0.4190141287
17	0.418927409
18	0.4187020554
19	0.4186357656
20	0.4184905704
21	0.4181770791
22	0.4180868736
23	0.4173142345
24	0.4167514329
25	0.4162542585
26	0.4159030207
27	0.4158232858
28	0.4149880966
29	0.4134584631
30	0.4129498658
31	0.4129188161
32	0.4128902044
33	0.4128389102
34	0.4125645575
35	0.4123913766
36	0.4121315404
37	0.4120806966
38	0.4118791908
39	0.4117574028
40	0.4115569841
41	0.4115296129
42	0.4114997003
43	0.4114841538
44	0.4114625514
45	0.4113089644
46	0.4112820869
47	0.4110693854
48	0.4108210699
49	0.4106658297
50	0.4106023507
51	0.4104712278
52	0.4102751258
53	0.4096060129
54	0.4095097269
55	0.4092699955
56	0.409135803
57	0.4089075922
58	0.408712749
59	0.4085539766
60	0.4084523076
61	0.4083773191
62	0.4082433045
63	0.407954842
64	0.4078760996
65	0.4076022825
66	0.4075475456
67	0.4073405884
68	0.4072640388
69	0.4071704184
70	0.4070066428
71	0.4068672631
72	0.4066924449
73	0.4064665068
74	0.4062777867
75	0.4062004896
76	0.4061223535
77	0.4059918555
78	0.4058582731
79	0.4057614191
80	0.4057199588
81	0.4056828208
82	0.405550829
83	0.4053816663
84	0.4052136836
85	0.4051371733
86	0.4050974918
87	0.4049733469
88	0.4048238507
89	0.4047747248
90	0.404742579
91	0.4047117792
92	0.4045975736
93	0.4045145861
94	0.4044218783
95	0.4043923384
96	0.4042683122
97	0.4041551893
98	0.4038954098
99	0.4038247018
100	0.4036538355
101	0.4034623302
102	0.4033560802
103	0.4032389792
104	0.4031313199
105	0.4030791454
106	0.4029563059
107	0.4029009527
108	0.4027181073
109	0.4025488284
110	0.4024241391
111	0.4023543917
112	0.402279627
113	0.4021906932
114	0.4021325903
115	0.4020848485
116	0.4019278942
117	0.4019087142
118	0.4018515229
119	0.401691458
120	0.4015953093
121	0.4015174969
122	0.4014509734
123	0.4013202026
124	0.4012412319
125	0.4011901909
126	0.4010625695
127	0.4010389627
128	0.4009726018
129	0.4008612142
