feature,loading,abs_loading
breakpoint_read_pos,0.9990562321117947,0.9990562321117947
softclip_left,-0.028318567874859056,0.028318567874859056
softclip_right,0.027635673639973952,0.027635673639973952
kmer_cosine_diff,-0.011419640761213209,0.011419640761213209
sa_max_mapq,-0.008634140917600338,0.008634140917600338
sa_mean_mapq,-0.008634140917600331,0.008634140917600331
kmer_js_divergence,-0.0060880835218203415,0.0060880835218203415
sa_max_delta_pos,-0.0011593188936835006,0.0011593188936835006
sa_mean_delta_pos,-0.0011593188936835006,0.0011593188936835006
sa_min_delta_pos,-0.0011593188936834936,0.0011593188936834936
ref_start_1based,0.00038679139797914014,0.00038679139797914014
microhomology_gc,-0.00026555040983460677,0.00026555040983460677
mean_base_quality,0.0002293315345359538,0.0002293315345359538
num_segments,-0.00013477866660232374,0.00013477866660232374
sa_opp_strand_count,-0.00013477866660232288,0.00013477866660232288
sa_count,-0.00013477866660231702,0.00013477866660231702
has_sa,-0.00013477866660213704,0.00013477866660213704
total_clipped_bases,-0.00012706259555604987,0.00012706259555604987
sa_min_nm,-6.473331926551469e-05,6.473331926551469e-05
sa_mean_nm,-6.473331926551469e-05,6.473331926551469e-05
