epoch	train_loss	test_loss	test_acc
1	0.693467	0.693254	0.500156
2	0.693099	0.691263	0.512973
3	0.668538	0.619086	0.648484
4	0.579786	0.559285	0.704751
5	0.475786	0.456949	0.779931
6	0.385088	0.408604	0.811972
7	0.305154	0.342283	0.854642
8	0.237346	0.333235	0.865739
9	0.197164	0.296033	0.882776
10	0.155148	0.294942	0.886527
11	0.129237	0.312816	0.886683
12	0.105036	0.379199	0.881838
13	0.086676	0.319022	0.896686
14	0.083776	0.279258	0.901844
15	0.070170	0.308303	0.902470
