epoch	train_loss	test_loss	test_acc
1	0.693082	0.691381	0.514875
2	0.666241	0.649751	0.586875
3	0.586657	0.532668	0.730375
4	0.476591	0.458744	0.777000
5	0.383096	0.409565	0.813750
6	0.308523	0.401291	0.818875
7	0.256596	0.331622	0.862625
8	0.204339	0.320062	0.870500
9	0.177936	0.349123	0.856250
10	0.148670	0.305177	0.878875
11	0.124271	0.291038	0.889625
12	0.109989	0.292811	0.892500
13	0.096202	0.307539	0.891250
14	0.087138	0.350983	0.889500
15	0.078159	0.415066	0.878250
