epoch	train_loss	test_loss	test_acc
1	0.703241	0.691407	0.500125
2	0.654134	0.596481	0.678000
3	0.521666	0.481974	0.769625
4	0.403618	0.410972	0.815375
5	0.317040	0.372376	0.835125
6	0.260354	0.371878	0.856375
7	0.210251	0.400196	0.830500
8	0.172124	0.349958	0.863500
