epoch	train_loss	test_loss	test_acc
1	0.693458	0.692944	0.497914
2	0.688566	0.677339	0.536568
3	0.673403	0.697731	0.524333
4	0.654068	0.644631	0.616935
5	0.629400	0.617903	0.641129
6	0.594885	0.554931	0.712875
7	0.549695	0.522672	0.734149
8	0.509051	0.468778	0.780590
9	0.454566	0.407662	0.818131
10	0.412791	0.359292	0.845662
11	0.362908	0.319160	0.863042
12	0.321468	0.284063	0.885289
13	0.282191	0.274767	0.884038
14	0.243428	0.225573	0.915879
15	0.204178	0.184634	0.936179
