epoch	train_loss	test_loss	test_acc	test_f1	test_auc
1	0.693843	0.693055	0.511406	0.414748	0.520345
2	0.687202	0.692322	0.525469	0.592075	0.532510
3	0.677370	0.693862	0.541406	0.530325	0.550638
4	0.657428	0.704381	0.539062	0.635623	0.569361
5	0.624381	0.681587	0.587812	0.572863	0.621198
6	0.514882	0.563431	0.727344	0.698358	0.811392
7	0.320025	0.402177	0.841406	0.850845	0.901953
8	0.184208	0.342641	0.866406	0.864608	0.936786
9	0.108263	0.317165	0.890156	0.895184	0.949204
10	0.073703	0.303428	0.902031	0.903464	0.958061
11	0.057053	0.326793	0.903281	0.906226	0.955402
12	0.044684	0.376355	0.905781	0.910706	0.957791
13	0.042190	0.348036	0.910937	0.912200	0.958600
14	0.026381	0.335772	0.914844	0.916832	0.965742
15	0.027684	0.310938	0.916406	0.918133	0.966628
16	0.025083	0.369242	0.917031	0.919946	0.965793
17	0.028538	0.327793	0.918750	0.919554	0.968995
18	0.024032	0.376998	0.920781	0.924294	0.968035
19	0.017257	0.402503	0.913281	0.917349	0.967835
20	0.024452	0.369246	0.917813	0.919027	0.966821
21	0.021725	0.420868	0.914531	0.919452	0.964580
22	0.017830	0.344799	0.926094	0.927753	0.972335
23	0.011636	0.446234	0.913594	0.918110	0.965025
24	0.019359	0.304658	0.929219	0.929669	0.974850
25	0.017245	0.391989	0.923906	0.926268	0.969595
26	0.018262	0.398950	0.926250	0.929150	0.970275
27	0.019305	0.403521	0.925156	0.927523	0.967250
28	0.019169	0.437212	0.912500	0.917695	0.966049
29	0.017091	0.389133	0.925625	0.928053	0.970012
30	0.012553	0.386938	0.921719	0.923964	0.967707
