epoch	train_loss	test_loss	test_acc	test_f1	test_auc
1	0.693488	0.692853	0.500000	0.666667	0.548854
2	0.692324	0.693096	0.500469	0.004360	0.566313
3	0.688760	0.682654	0.557031	0.611058	0.592582
4	0.668635	0.662556	0.603437	0.641018	0.647911
5	0.638322	0.640225	0.643750	0.645853	0.684214
6	0.603197	0.627427	0.658750	0.693258	0.719453
7	0.554954	0.579707	0.694844	0.674120	0.773658
8	0.507290	0.538819	0.731406	0.730775	0.806612
9	0.447537	0.519022	0.747188	0.742192	0.827085
10	0.394418	0.469233	0.780156	0.795939	0.859236
11	0.343938	0.472718	0.783594	0.807398	0.872520
12	0.302818	0.432136	0.806875	0.816126	0.886665
13	0.273988	0.410223	0.823438	0.835899	0.898553
14	0.231041	0.401211	0.833281	0.836023	0.908725
15	0.216900	0.402031	0.835938	0.840037	0.907607
16	0.189888	0.398089	0.845469	0.854280	0.916696
17	0.171190	0.391708	0.841250	0.840752	0.918923
18	0.158795	0.401144	0.846719	0.850435	0.919908
19	0.146084	0.382055	0.857031	0.864021	0.925216
20	0.136826	0.372632	0.863125	0.865355	0.932735
21	0.118576	0.431340	0.846094	0.859145	0.926440
22	0.114784	0.406075	0.860469	0.871196	0.932619
23	0.104893	0.439311	0.850781	0.863863	0.928902
24	0.092989	0.445135	0.863437	0.872669	0.933222
25	0.091700	0.417837	0.865469	0.872426	0.934547
26	0.086803	0.405427	0.866875	0.867041	0.938254
27	0.083909	0.399620	0.869844	0.874756	0.938169
28	0.074873	0.424213	0.868281	0.874610	0.936710
29	0.078622	0.413274	0.865625	0.874048	0.938446
30	0.070190	0.447483	0.868594	0.877352	0.938873
